name|description|price|department_id|category_id|brand_id|store_id|image
Brown Mushrooms|454 g|3.8|1|1|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cca2bb99-63de-4d38-9051-f49c09a14abd.png
White Mushroom|454 g|3.8|1|1|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_79693737-5dd3-4de0-b001-95dd2a2027b4.png 
Farmers Market Bicolor Corn|Each|5.5|1|1|1|1|
https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6cab4cd3-d54d-48c2-91ac-403ec2a48926.png
Stringless Sugar Snap Peas|32 oz|10.95|1|1|1|1|
https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9834c5fb-e084-49ae-b303-c418aa0e1e82.png
Farmers Market Tomato Grape|907 g|7.65|1|1|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c0629c15-511b-485f-b08b-12832d28f29f.png
Green Giant Peas Sweetlet|750g|3.5|1|1|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f64e410d-e9d7-46bc-9b06-4cba907612ae.png
Jalapeno Peppers|750g|3.5|1|1|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_79693737-5dd3-4de0-b001-95dd2a2027b4.png
Baby Carrot Bag|2lbs|4.35|1|1|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ee4cc0ec-a01d-43ca-b9dc-b17027947b73.png
banana||0.2|1|2|1|1|
https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_48f29b47-546c-488a-ad89-2413b6b1b1fa.png
banana||0.3|1|2|1|2|
https://d2d8wwwkmhfcva.cloudfront.net/155x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_48f29b47-546c-488a-ad89-2413b6b1b1fa.png
Orange||0.38|1|2|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_28db571a-bbaa-4f50-8c58-3f1a6c4fafbb.png
Orange||0.5|1|2|1|2|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_28db571a-bbaa-4f50-8c58-3f1a6c4fafbb.png
watermelon||5.38|1|2|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_abdc50a8-b9c9-40f8-94a9-d910cff72669.png
watermelon||6|1|2|1|2|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_abdc50a8-b9c9-40f8-94a9-d910cff72669.png
Pineapple||3.8|1|2|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8376a834-936e-491c-8d32-f081af10d9bc.png
Red Seedless Grapes|1 kg|8.77|1|2|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d99809f0-695f-4bed-9cdc-6f9fe4c9f43e.png
Granny Smith Apple|each|1.01|1|2|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1cdcd477-0b6b-4926-9f9c-13f6bfa96570.png
Canary Melon|each|3.55|1|2|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_19f1cc5e-9898-4327-a032-c761f1b5470a.png
papaya|kg|4.8|1|2|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cea4802a-e953-4bd1-8df6-306c98d2b44b.png
avocado|1 lbs|3.9|1|2|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_47d68ae3-ce65-45d5-9bad-20cda9e67301.png
avocado|1 lbs|2.98|1|2|1|2|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_47d68ae3-ce65-45d5-9bad-20cda9e67301.png
Ginger|each|0.41|1|3|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cc00e7fe-a41b-475e-8379-571abf1ec66e.png
cilantro bunch|each|1.35|1|3|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b7351820-bf4d-4df9-9ce0-0f4639094445.png
mint bunch|each|2.15|1|3|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_98e08f75-8c23-41aa-92ed-1afe3863cd9d.png
fennel|each|4.35|1|3|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cbfc37eb-a003-4752-a706-11c47136c061.png
Parsley bunch|each|1.35|1|3|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c41835ce-b821-4f97-b9f5-b6e71f2f88ec.png
white Onion|per kg|0.39|1|4|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_99bd9e69-240a-4a71-844e-9c6773382bcc.png
white Onion|per kg|0.25|1|4|1|2|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_99bd9e69-240a-4a71-844e-9c6773382bcc.png
yellow onion|3 lbs|2.98|1|4|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_81615ebf-abb6-4fa4-aa62-f57e59c0b9c9.png
yellow onion|3 lbs|2.5|1|4|1|2|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_81615ebf-abb6-4fa4-aa62-f57e59c0b9c9.png
roma tomatos|1 lbs|1.98|1|4|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9bef11df-10a4-494f-b399-b6439c7f02fc.png
roma tomatos|1 lbs|2.4|1|4|1|2|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9bef11df-10a4-494f-b399-b6439c7f02fc.png
red peppers|1 lbs|2.1|2|4|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e00e666b-574d-4a7a-a8bb-a907aff44c02.png
red peppers|1 lbs|2.98|2|4|1|2|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e00e666b-574d-4a7a-a8bb-a907aff44c02.png
Cubed Beef|1 kg|16.15|3|10|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_10cc16c4-a455-4d86-8c7d-b1a57fe415e7.png
Striploin Steak|1 kg|29.15|3|10|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e3386f72-18ce-424e-9c47-13a8f67ba9c3.png
Angus Beef T-bone Steak|1 kg|33.15|3|10|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e1a8e8a5-6703-43d1-884e-eeb8d4dd5228.png
Sirloin Tip Steak|1 kg|14.15|3|10|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b1ed5cb1-3b5e-4584-bcf0-2d87d1c5999b.png
Beef Ground Club Pack|1 kg|13.15|3|10|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0f99f67c-8e70-48f2-917e-9880b06832bc.png
Rib Steak Boneless|1 kg|14.15|3|10|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fde37fab-d4d3-480f-931b-73ebc82a0ae5.png
Sandwch Steak Fast Fry|1 kg|15.75|3|10|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fa4a1ae3-1089-4e7a-8c57-b09853c04839.png
Aaa Cto Beef Tenderloin|1 kg|49.75|3|10|1|1|https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_aaa65c2a-2811-4976-914f-489cdcee6ea6.png
Beef liver|1 kg|13.09|3|10|1|1|https://assets.shop.loblaws.ca/products/20074419/b1/en/front/20074419_front_a04.png
BEEF NECK SOUP BONES|1 kg|7.29|3|10|1|1|https://assets.shop.loblaws.ca/products/20835858/b1/en/front/20835858_front_a04.png
Boneless Skinless Chicken Thighs|1 kg|21.29|3|11|1|1|
https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_38d2cfc4-a7a1-47d1-a283-ebf46dbc8e73.png
TURKEY THIGHS|1 kg|9.29|3|11|1|1|https://assets.shop.loblaws.ca/products/20656702/b1/en/front/20656702_front_a04.png
CHICKEN LIVERS|1 kg|4.49|3|11|1|1|https://assets.shop.loblaws.ca/products/20142877/b1/en/front/20142877_front_a04.png
CHICKEN THIGHS|1 kg|6.26|3|11|1|1|https://assets.shop.loblaws.ca/products/20566866/b1/en/front/20566866_front_a04.png
HALAL CHICKEN DRUMSTICKS|1 kg|9.33|3|11|1|1|https://assets.shop.loblaws.ca/products/20999707/b1/en/front/20999707_front_a04.png
CHICKEN DRUMSTICKS|1 kg|5.73|3|11|1|1|https://assets.shop.loblaws.ca/products/20565549/b1/en/front/20565549_front_a04.png
HOMESTYLE STUFFING|900 g|4.99|3|11|1|1|https://assets.shop.loblaws.ca/products/20870551/b1/en/front/20870551_front_a04.png
CHICKEN GIZZARDS|1 kg|5.99|3|11|1|1|https://assets.shop.loblaws.ca/products/20094975/b1/en/front/20094975_front_a04.png
Organic Skinless Boneless Chicken Breast|1 kg|25.99|3|11|1|1|
https://d2d8wwwkmhfcva.cloudfront.net/600x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_689a43ab-98df-4da5-8939-3bc0559d8eed.png
Mina Halal Lean Ground Chicken|454 g|6.97|3|11|1|1|https://i5.walmartimages.ca/images/Large/086/700/999999-6310086700.jpg
